epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,15567,0.97336,1.16971,1.26507,0.95128,0.79583,0.72863,0.80824,0.59798,0.94337,0.8506,1.19003,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,15988.4,0.96999,1.1591,1.26051,0.94365,0.80081,0.73034,0.81225,0.60081,0.94142,0.83865,1.18744,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,16425.9,0.96674,1.15092,1.26099,0.93913,0.79757,0.72927,0.81266,0.60247,0.93763,0.84104,1.18587,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,16848.1,0.96802,1.1455,1.25883,0.93656,0.80682,0.72693,0.81348,0.60339,0.93368,0.83503,1.18174,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17288.7,0.95708,1.13236,1.25145,0.92114,0.79441,0.73535,0.81618,0.60518,0.9352,0.83252,1.18165,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,17719.1,0.95666,1.12499,1.25108,0.92109,0.81004,0.73671,0.81933,0.60861,0.92984,0.82447,1.17803,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18160.2,0.95672,1.12235,1.25039,0.91739,0.81241,0.73643,0.82188,0.61263,0.92793,0.81725,1.17572,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,18576.2,0.94835,1.10584,1.2469,0.91655,0.80419,0.73822,0.81949,0.61035,0.92561,0.81697,1.17456,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19015.4,0.94255,1.10211,1.24528,0.90592,0.80216,0.74426,0.8222,0.61332,0.92205,0.81322,1.17057,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,19449.9,0.94097,1.10233,1.24215,0.89953,0.81123,0.74063,0.8244,0.61578,0.91878,0.80596,1.16782,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,19865.5,0.94029,1.08833,1.23828,0.89706,0.80575,0.74551,0.82598,0.6178,0.91718,0.80549,1.16671,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,20306.7,0.94212,1.09294,1.2395,0.89444,0.80828,0.74298,0.82627,0.61924,0.91294,0.80212,1.16311,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,20755.4,0.93416,1.07704,1.23544,0.89023,0.79033,0.75826,0.82641,0.61968,0.91155,0.79604,1.16192,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,21187.4,0.92984,1.06644,1.23246,0.88425,0.80194,0.75086,0.82682,0.62006,0.9092,0.7962,1.1609,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,21615.8,0.92424,1.06252,1.2293,0.87626,0.80141,0.75429,0.82781,0.6204,0.90816,0.79381,1.15958,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,22037.7,0.92872,1.06539,1.23222,0.8813,0.80677,0.74776,0.82771,0.62132,0.90677,0.79288,1.15863,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,22468.2,0.9291,1.05615,1.23255,0.87085,0.81716,0.74656,0.82962,0.62271,0.90782,0.79123,1.15906,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,22892.9,0.92614,1.05018,1.22937,0.8698,0.81449,0.74938,0.83048,0.62483,0.90585,0.78552,1.15775,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,23313,0.92007,1.04021,1.22377,0.86701,0.81851,0.74553,0.83111,0.62544,0.90453,0.78321,1.15663,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,23733.7,0.91605,1.03965,1.2244,0.86083,0.81258,0.75381,0.83186,0.62583,0.90299,0.77993,1.15558,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,24148,0.91706,1.03416,1.22253,0.8618,0.81038,0.75688,0.83156,0.62755,0.90204,0.77818,1.15519,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,24580.2,0.91015,1.01797,1.21644,0.85677,0.81432,0.75527,0.83265,0.6288,0.90078,0.77724,1.15388,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,24989.1,0.90684,1.02129,1.21538,0.85153,0.81497,0.7572,0.83321,0.62956,0.89939,0.77512,1.15315,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,25430.2,0.90657,1.01754,1.2152,0.84794,0.81304,0.76366,0.83457,0.63029,0.89824,0.77386,1.15263,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,25877.3,0.90685,1.01334,1.2138,0.84567,0.81171,0.76426,0.83502,0.63128,0.89742,0.77306,1.15177,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,26316.7,0.90176,1.00792,1.21228,0.84048,0.81434,0.76458,0.83616,0.63176,0.89625,0.77164,1.15077,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,26756.1,0.90045,1.00473,1.21202,0.83942,0.81903,0.75815,0.83602,0.63264,0.89489,0.7704,1.14971,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,27203.3,0.89523,0.99065,1.20843,0.82953,0.815,0.76375,0.83686,0.63318,0.89438,0.76829,1.14929,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,27636.9,0.89548,0.99808,1.20979,0.82808,0.81795,0.76223,0.83723,0.63284,0.89357,0.76688,1.14844,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,28065.6,0.88705,0.98396,1.20483,0.82298,0.81542,0.76185,0.83656,0.63337,0.89333,0.76609,1.14854,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,28495,0.88887,0.98121,1.20174,0.82784,0.8154,0.76078,0.83661,0.63362,0.89338,0.76554,1.14834,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,28914.2,0.88607,0.97673,1.20193,0.82367,0.81254,0.76434,0.83694,0.63369,0.89344,0.76435,1.14833,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
