stage,params_M,GFLOPs,mAP50,mAP50_95,latency_ms,FPS
val_init,2.512,5.8,0.8454,0.6593,14.45,69.2
step0,1.603,3.6,0.8063,0.6171,13.23,75.6
step1,1.099,2.4,0.7705,0.5699,11.89,84.1
