epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8774,3.07024,5.25058,0.03222,1.88538,0.01492,0.19586,0.02033,0.00778,3.22075,4.86742,0.05311,0.000233897,0.000233897,0.000233897
2,67.1947,2.45582,3.0824,0.02262,1.52466,0.53549,0.23796,0.1914,0.0722,2.41914,3.34709,0.03662,0.000467225,0.000467225,0.000467225
3,98.3688,2.24561,2.63925,0.01935,1.35924,0.75089,0.32205,0.3774,0.17195,2.21978,2.23794,0.03201,0.000695841,0.000695841,0.000695841
4,129.326,2.11463,2.27012,0.01759,1.2715,0.62395,0.43387,0.45181,0.20447,2.08279,1.9943,0.02788,0.000692794,0.000692794,0.000692794
5,160.424,2.06935,2.12245,0.01684,1.20755,0.57216,0.41147,0.43091,0.20248,2.09441,2.15223,0.02827,0.000685726,0.000685726,0.000685726
6,192.54,2.01214,2.03491,0.01595,1.1598,0.78866,0.45976,0.54415,0.28379,1.93053,1.6673,0.02419,0.000678657,0.000678657,0.000678657
7,224.421,1.9641,2.00582,0.01612,1.12967,0.73096,0.49511,0.49333,0.2431,1.99723,1.71062,0.02511,0.000671588,0.000671588,0.000671588
8,258.232,1.95579,1.91231,0.01512,1.09471,0.58281,0.57003,0.5433,0.27367,1.9559,1.63139,0.02713,0.00066452,0.00066452,0.00066452
9,291.621,1.93851,1.84663,0.01508,1.07686,0.4821,0.55578,0.55091,0.28485,1.90151,1.53443,0.02395,0.000657451,0.000657451,0.000657451
10,323.2,1.90773,1.77619,0.01505,1.0538,0.58507,0.58448,0.5825,0.29002,1.90543,1.43759,0.02435,0.000650383,0.000650383,0.000650383
11,354.193,1.92158,1.77199,0.0149,1.02811,0.84056,0.45572,0.57446,0.29802,1.91329,1.5481,0.02492,0.000643314,0.000643314,0.000643314
12,385.513,1.88212,1.70624,0.01402,1.0137,0.60721,0.59156,0.60383,0.30752,1.97707,1.45612,0.0268,0.000636245,0.000636245,0.000636245
13,416.814,1.85803,1.65823,0.01437,0.99725,0.46195,0.56226,0.56162,0.28807,1.90998,1.43239,0.02363,0.000629177,0.000629177,0.000629177
14,448.296,1.86523,1.6436,0.0139,0.97567,0.85364,0.50653,0.59658,0.30202,2.0009,1.38693,0.02595,0.000622108,0.000622108,0.000622108
15,479.334,1.83334,1.62884,0.01408,0.96038,0.74034,0.56611,0.63644,0.32427,1.92689,1.30219,0.02449,0.00061504,0.00061504,0.00061504
16,510.334,1.8212,1.5941,0.01396,0.94574,0.58812,0.60107,0.62551,0.3278,1.85482,1.43149,0.02264,0.000607971,0.000607971,0.000607971
17,541.561,1.84655,1.60708,0.0136,0.93596,0.70589,0.62274,0.63026,0.3378,1.88124,1.40996,0.02339,0.000600902,0.000600902,0.000600902
18,572.775,1.83819,1.59201,0.01388,0.92405,0.54979,0.61204,0.64236,0.34147,1.92507,1.29702,0.02378,0.000593834,0.000593834,0.000593834
19,604.075,1.82294,1.54951,0.01373,0.90873,0.74652,0.50293,0.6049,0.32155,1.9296,1.31941,0.02428,0.000586765,0.000586765,0.000586765
20,635.108,1.8058,1.53605,0.01364,0.89279,0.75134,0.56196,0.62092,0.31641,1.93151,1.33556,0.02459,0.000579697,0.000579697,0.000579697
21,666.079,1.81382,1.53113,0.01356,0.88771,0.60233,0.63205,0.63611,0.33266,1.8677,1.3025,0.02318,0.000572628,0.000572628,0.000572628
22,697.252,1.7913,1.47423,0.01321,0.87381,0.68248,0.58177,0.63225,0.34934,1.87348,1.27105,0.02291,0.000565559,0.000565559,0.000565559
23,728.212,1.77932,1.4451,0.01361,0.86448,0.58951,0.56461,0.6094,0.33897,1.88463,1.34481,0.02281,0.000558491,0.000558491,0.000558491
24,759.413,1.76776,1.45265,0.01292,0.85269,0.62806,0.5895,0.63507,0.34423,1.86351,1.27545,0.02293,0.000551422,0.000551422,0.000551422
25,790.429,1.77427,1.42682,0.0128,0.84267,0.67816,0.63594,0.65137,0.34522,1.89311,1.28198,0.02224,0.000544354,0.000544354,0.000544354
26,821.812,1.76884,1.42034,0.01258,0.83471,0.75944,0.56109,0.62272,0.337,1.88163,1.31916,0.02283,0.000537285,0.000537285,0.000537285
27,851.686,1.79019,1.41168,0.01306,0.82912,0.73087,0.55313,0.62322,0.34131,1.84157,1.34829,0.02221,0.000530216,0.000530216,0.000530216
28,881.282,1.75002,1.39706,0.01268,0.81521,0.74383,0.60454,0.63546,0.34018,1.88564,1.25399,0.0234,0.000523148,0.000523148,0.000523148
29,910.727,1.73392,1.34977,0.01266,0.80614,0.71738,0.5602,0.6627,0.35301,1.89573,1.27456,0.02262,0.000516079,0.000516079,0.000516079
30,939.827,1.74366,1.356,0.01246,0.80011,0.64408,0.62281,0.65713,0.34731,1.88967,1.21772,0.02161,0.000509011,0.000509011,0.000509011
31,968.949,1.75085,1.35581,0.01234,0.7874,0.65522,0.59258,0.64408,0.34608,1.89502,1.21108,0.02263,0.000501942,0.000501942,0.000501942
32,997.981,1.71297,1.36394,0.01249,0.78814,0.65562,0.62206,0.66237,0.34917,1.87638,1.22542,0.02309,0.000494873,0.000494873,0.000494873
33,1027.46,1.72315,1.33083,0.01238,0.77867,0.60744,0.60474,0.64822,0.35755,1.83574,1.24864,0.02183,0.000487805,0.000487805,0.000487805
34,1056.93,1.72692,1.31961,0.01231,0.77632,0.66551,0.60434,0.66239,0.35893,1.83374,1.21946,0.02256,0.000480736,0.000480736,0.000480736
35,1086.47,1.71625,1.31541,0.01207,0.76491,0.74537,0.56434,0.63615,0.33367,1.91367,1.2704,0.02329,0.000473668,0.000473668,0.000473668
36,1115.84,1.71599,1.29107,0.01212,0.75833,0.562,0.65869,0.63547,0.33561,1.86652,1.24985,0.02274,0.000466599,0.000466599,0.000466599
37,1145.12,1.70562,1.281,0.01217,0.75013,0.65087,0.59227,0.64918,0.33425,1.92819,1.27239,0.02374,0.00045953,0.00045953,0.00045953
38,1174.35,1.70301,1.33564,0.012,0.74679,0.7691,0.61235,0.6572,0.35112,1.84427,1.21929,0.02193,0.000452462,0.000452462,0.000452462
39,1203.79,1.68783,1.22946,0.01212,0.7438,0.76993,0.6257,0.66849,0.36902,1.88396,1.16421,0.02261,0.000445393,0.000445393,0.000445393
40,1233.83,1.6803,1.26916,0.0119,0.73904,0.71315,0.62406,0.65092,0.3504,1.89869,1.24434,0.02367,0.000438325,0.000438325,0.000438325
41,1266.96,1.65551,1.26141,0.01188,0.73545,0.71108,0.60123,0.62602,0.33527,1.88723,1.27913,0.02242,0.000431256,0.000431256,0.000431256
42,1298.81,1.68816,1.26219,0.01226,0.72719,0.6061,0.62308,0.64126,0.35725,1.87743,1.23554,0.02194,0.000424187,0.000424187,0.000424187
43,1331.69,1.68711,1.26901,0.012,0.71479,0.61172,0.60414,0.65094,0.36082,1.81991,1.2328,0.02079,0.000417119,0.000417119,0.000417119
44,1364.13,1.64332,1.24027,0.01184,0.71939,0.77814,0.58453,0.66542,0.36372,1.87999,1.20446,0.02215,0.00041005,0.00041005,0.00041005
45,1398.94,1.63995,1.21074,0.0114,0.71106,0.67914,0.61973,0.65725,0.35865,1.89297,1.20423,0.02289,0.000402982,0.000402982,0.000402982
46,1430.98,1.6464,1.20664,0.01149,0.7092,0.64117,0.65759,0.66194,0.35874,1.88847,1.17094,0.02231,0.000395913,0.000395913,0.000395913
47,1463,1.66638,1.20877,0.01157,0.70432,0.8144,0.56225,0.64354,0.35623,1.85315,1.21838,0.02236,0.000388844,0.000388844,0.000388844
48,1495.76,1.65726,1.20692,0.0117,0.70138,0.74856,0.62967,0.70189,0.37202,1.85408,1.15496,0.02211,0.000381776,0.000381776,0.000381776
49,1528.42,1.64086,1.18807,0.01161,0.69971,0.61166,0.61664,0.66004,0.3502,1.90418,1.17498,0.02331,0.000374707,0.000374707,0.000374707
50,1561.31,1.65304,1.20395,0.01163,0.68824,0.83682,0.54735,0.64739,0.33776,1.96189,1.23914,0.02423,0.000367639,0.000367639,0.000367639
51,1593.32,1.63443,1.17792,0.01147,0.68799,0.76488,0.5917,0.64732,0.34864,1.91627,1.22969,0.02326,0.00036057,0.00036057,0.00036057
52,1623.09,1.62818,1.16489,0.01139,0.68358,0.61403,0.61122,0.64079,0.35066,1.90036,1.2436,0.02311,0.000353501,0.000353501,0.000353501
53,1653.33,1.63849,1.14433,0.01106,0.6768,0.74698,0.60645,0.66526,0.35648,1.92462,1.17019,0.02318,0.000346433,0.000346433,0.000346433
54,1680.67,1.62466,1.18196,0.01107,0.67834,0.64029,0.59222,0.6424,0.34819,1.92091,1.21316,0.02287,0.000339364,0.000339364,0.000339364
55,1708.52,1.63018,1.15646,0.01157,0.67185,0.75633,0.63659,0.66128,0.35037,1.90163,1.17974,0.0227,0.000332296,0.000332296,0.000332296
56,1736.63,1.61969,1.13668,0.01091,0.66436,0.7753,0.57066,0.63621,0.34973,1.8726,1.21582,0.0218,0.000325227,0.000325227,0.000325227
57,1764.36,1.61984,1.1403,0.01107,0.66622,0.59728,0.64036,0.66136,0.34859,1.88427,1.20818,0.02267,0.000318158,0.000318158,0.000318158
58,1791.53,1.60584,1.13445,0.01111,0.66376,0.58673,0.63881,0.64185,0.35296,1.86784,1.23598,0.0221,0.00031109,0.00031109,0.00031109
59,1819.93,1.61435,1.14817,0.01093,0.65609,0.72592,0.62328,0.64828,0.35368,1.90535,1.23459,0.02336,0.000304021,0.000304021,0.000304021
60,1848.66,1.60368,1.12753,0.01102,0.65271,0.73631,0.60244,0.65035,0.35794,1.89891,1.17195,0.02231,0.000296953,0.000296953,0.000296953
61,1876.67,1.5933,1.10214,0.01101,0.65804,0.63931,0.6315,0.64769,0.35614,1.87729,1.20613,0.02221,0.000289884,0.000289884,0.000289884
62,1904.84,1.5938,1.11057,0.011,0.65465,0.69636,0.60964,0.66307,0.3539,1.89108,1.22725,0.02258,0.000282815,0.000282815,0.000282815
63,1932.24,1.5887,1.09072,0.01065,0.65184,0.65714,0.63037,0.66546,0.37095,1.85543,1.22752,0.02188,0.000275747,0.000275747,0.000275747
64,1960.54,1.59543,1.11336,0.01076,0.64795,0.79163,0.58422,0.65322,0.36265,1.86445,1.19588,0.02222,0.000268678,0.000268678,0.000268678
65,1988.22,1.57988,1.08003,0.01071,0.6424,0.66394,0.62006,0.64614,0.35264,1.9025,1.20757,0.02304,0.00026161,0.00026161,0.00026161
66,2015.81,1.56956,1.08352,0.01082,0.64347,0.67344,0.62763,0.66002,0.35117,1.90107,1.19517,0.02272,0.000254541,0.000254541,0.000254541
67,2043.56,1.57886,1.06123,0.0103,0.63673,0.67695,0.62009,0.66424,0.35845,1.90745,1.1996,0.02284,0.000247472,0.000247472,0.000247472
68,2071.53,1.55992,1.07845,0.01059,0.63935,0.62453,0.60364,0.6519,0.35041,1.91556,1.19336,0.0232,0.000240404,0.000240404,0.000240404
69,2098.92,1.57455,1.06645,0.01039,0.63193,0.71729,0.6248,0.65956,0.34816,1.90444,1.21316,0.02343,0.000233335,0.000233335,0.000233335
70,2126.61,1.55419,1.05674,0.01091,0.63338,0.71435,0.62805,0.65791,0.35339,1.87706,1.20664,0.02244,0.000226267,0.000226267,0.000226267
71,2154.76,1.56101,1.05435,0.01063,0.63096,0.64466,0.6354,0.66291,0.35226,1.90652,1.19535,0.0225,0.000219198,0.000219198,0.000219198
72,2182.22,1.55796,1.0457,0.01038,0.62664,0.75058,0.62929,0.65326,0.345,1.91666,1.20446,0.02343,0.000212129,0.000212129,0.000212129
73,2209.81,1.57146,1.08195,0.01071,0.62241,0.76453,0.60725,0.657,0.36245,1.87616,1.15986,0.02231,0.000205061,0.000205061,0.000205061
74,2239.12,1.55381,1.03586,0.0105,0.62502,0.74889,0.60619,0.64792,0.34942,1.88922,1.21096,0.02285,0.000197992,0.000197992,0.000197992
75,2268.54,1.57146,1.071,0.01061,0.62256,0.6276,0.62416,0.64737,0.3471,1.91315,1.23943,0.02314,0.000190924,0.000190924,0.000190924
76,2297.37,1.54067,1.0485,0.01035,0.61659,0.79161,0.59879,0.69007,0.36654,1.91577,1.18427,0.02306,0.000183855,0.000183855,0.000183855
77,2325.29,1.54494,1.04156,0.01041,0.61592,0.6416,0.61764,0.64643,0.35014,1.91201,1.20917,0.02259,0.000176786,0.000176786,0.000176786
78,2354.45,1.53948,1.02958,0.01046,0.61858,0.6241,0.65234,0.64724,0.35376,1.92894,1.19316,0.02293,0.000169718,0.000169718,0.000169718
79,2384.51,1.56516,1.07094,0.01031,0.61438,0.77079,0.58894,0.66233,0.35551,1.91738,1.21106,0.0233,0.000162649,0.000162649,0.000162649
80,2414.56,1.5477,1.03097,0.01021,0.61045,0.73432,0.65952,0.68442,0.36103,1.91095,1.16958,0.02291,0.000155581,0.000155581,0.000155581
81,2443.47,1.52933,1.0138,0.01022,0.61454,0.66806,0.66975,0.67781,0.3504,1.8943,1.2028,0.02235,0.000148512,0.000148512,0.000148512
82,2471.7,1.52897,0.99958,0.0105,0.60781,0.67414,0.67921,0.68705,0.35767,1.94071,1.2089,0.02319,0.000141443,0.000141443,0.000141443
83,2499.93,1.54051,1.02385,0.01028,0.60284,0.70105,0.67913,0.68985,0.36535,1.9087,1.18104,0.0225,0.000134375,0.000134375,0.000134375
84,2529.54,1.51168,1.00173,0.01043,0.60831,0.77601,0.5989,0.65543,0.35274,1.96952,1.18423,0.02358,0.000127306,0.000127306,0.000127306
85,2558.67,1.52835,1.00365,0.01016,0.60372,0.74073,0.61764,0.65878,0.35208,1.93544,1.19952,0.02326,0.000120238,0.000120238,0.000120238
86,2589.21,1.49826,0.99016,0.01019,0.60573,0.65258,0.62441,0.65976,0.35023,1.9478,1.20471,0.02338,0.000113169,0.000113169,0.000113169
87,2620.36,1.50248,1.00075,0.01015,0.60639,0.77563,0.61398,0.6628,0.35522,1.94452,1.20895,0.02326,0.0001061,0.0001061,0.0001061
88,2649.36,1.53741,1.01448,0.01014,0.60349,0.68076,0.65196,0.67367,0.35654,1.9203,1.19571,0.0227,9.90318e-05,9.90318e-05,9.90318e-05
89,2678.54,1.52437,1.02665,0.01016,0.60069,0.67001,0.64631,0.66496,0.34942,1.94801,1.15836,0.02313,9.19632e-05,9.19632e-05,9.19632e-05
90,2707.47,1.50569,1.00808,0.01002,0.60302,0.66294,0.65131,0.66955,0.35768,1.9204,1.22429,0.02262,8.48946e-05,8.48946e-05,8.48946e-05
91,2749.94,1.62814,1.00324,0.01393,0.6022,0.78031,0.57694,0.6473,0.34535,1.95004,1.19395,0.02354,7.7826e-05,7.7826e-05,7.7826e-05
