epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,192.654,2.19853,4.34119,0.03545,0.14507,0.14482,0.08309,0.04114,1.92235,3.41935,0.03964,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046
2,350.42,1.5927,2.78282,0.02228,0.36215,0.29762,0.26528,0.14687,1.73604,2.41908,0.03395,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792
3,507.911,1.48923,2.39864,0.02026,0.37252,0.27186,0.25138,0.13607,1.75758,2.61254,0.03595,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938
4,670.054,1.46986,2.29198,0.02005,0.43248,0.35523,0.34889,0.19738,1.61899,2.20845,0.03186,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
