epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,19414.5,0.94995,1.09289,1.23777,0.20204,0.80792,0.74597,0.82759,0.61419,0.92209,0.81713,1.164,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,20079.3,0.94687,1.08627,1.23632,0.20157,0.80771,0.7543,0.8297,0.61797,0.92164,0.80651,1.16416,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,20739.3,0.94271,1.08322,1.2373,0.20043,0.80795,0.75523,0.83179,0.62153,0.91373,0.8033,1.1597,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,21405.5,0.94397,1.0714,1.23385,0.19986,0.79957,0.75289,0.83135,0.62275,0.91504,0.79907,1.16007,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,22075.7,0.93328,1.05964,1.22666,0.19883,0.8039,0.75433,0.83306,0.62254,0.91138,0.79683,1.15669,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,22735.1,0.93258,1.05513,1.22762,0.19775,0.81036,0.75915,0.83738,0.62736,0.90645,0.78974,1.15328,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,23404.1,0.93277,1.05069,1.22636,0.19742,0.80241,0.76009,0.83759,0.62909,0.90959,0.78565,1.15361,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,24068.5,0.9259,1.04209,1.2238,0.19648,0.80473,0.76199,0.83686,0.62811,0.90837,0.78319,1.15319,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,24739.2,0.92104,1.04066,1.22147,0.19561,0.81257,0.75822,0.84024,0.63115,0.9063,0.77805,1.15184,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,25409.1,0.92045,1.03485,1.22098,0.19546,0.81674,0.75963,0.84154,0.63278,0.90621,0.77519,1.15198,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,26081.5,0.92108,1.02742,1.21677,0.19396,0.80838,0.76384,0.83892,0.63193,0.90218,0.77448,1.14953,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,26747.9,0.92382,1.03132,1.21889,0.19355,0.81789,0.76133,0.8404,0.6344,0.90244,0.77031,1.14983,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,27413.7,0.9168,1.01665,1.21459,0.19308,0.81806,0.76473,0.84238,0.63583,0.9003,0.76587,1.14767,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,28079,0.91223,1.01043,1.21072,0.19207,0.81332,0.76871,0.84269,0.63608,0.89925,0.76404,1.14716,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,28739.1,0.90591,1.00639,1.20991,0.19172,0.81633,0.76207,0.84332,0.63674,0.89952,0.7618,1.14767,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,29391.3,0.91012,1.00861,1.21152,0.19069,0.82043,0.76112,0.84532,0.63848,0.89647,0.75894,1.14517,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,30050,0.90994,1.00534,1.21239,0.19048,0.81272,0.76773,0.84663,0.64005,0.897,0.7573,1.14478,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,30709.8,0.90879,0.99576,1.20901,0.19001,0.8071,0.77718,0.84748,0.64202,0.89456,0.7542,1.14346,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,31369.2,0.90119,0.98806,1.20404,0.18929,0.81105,0.77343,0.84772,0.64245,0.89244,0.75239,1.14143,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,32025,0.90138,0.9856,1.20548,0.18906,0.81652,0.77438,0.84957,0.64384,0.8903,0.7498,1.1395,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,32674.8,0.89885,0.9775,1.20268,0.18787,0.81188,0.77652,0.84952,0.64436,0.88851,0.7477,1.13786,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,33326.6,0.89398,0.96651,1.19905,0.18732,0.81045,0.78084,0.84936,0.64424,0.88746,0.74587,1.13709,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,33975.4,0.89071,0.96907,1.19863,0.18709,0.8139,0.77811,0.8504,0.645,0.8868,0.74386,1.13705,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,34623.9,0.88741,0.96685,1.19574,0.18625,0.80916,0.7827,0.85054,0.6455,0.88616,0.74229,1.13664,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,35273.7,0.88824,0.96183,1.19494,0.1859,0.81036,0.78393,0.85089,0.64586,0.88585,0.74086,1.13632,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,35930.9,0.88692,0.9605,1.19458,0.18522,0.81673,0.77756,0.85244,0.64703,0.88556,0.73925,1.13594,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,38733.8,0.8839,0.95829,1.1946,0.18507,0.81439,0.77971,0.8527,0.64807,0.885,0.73825,1.13504,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,39300.9,0.88381,0.94686,1.19198,0.1842,0.81874,0.77684,0.85277,0.64852,0.88435,0.73712,1.13455,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,39885.5,0.88033,0.95283,1.19368,0.18412,0.8259,0.77032,0.85307,0.64852,0.88365,0.73531,1.13411,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,40462,0.87024,0.94049,1.18691,0.18341,0.82337,0.77485,0.85347,0.64886,0.88356,0.73408,1.13422,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,40970.2,0.87721,0.9354,1.18693,0.18236,0.82489,0.77277,0.85403,0.64897,0.88333,0.73302,1.1338,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,41473.7,0.87417,0.93353,1.18623,0.18223,0.82425,0.77534,0.85441,0.64936,0.88293,0.73223,1.13327,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
