epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,13986.8,0.95245,1.10993,1.24393,1.42242,0.80049,0.74022,0.82197,0.61151,0.92324,0.82169,1.16826,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,14584.5,0.94994,1.10195,1.24056,1.41313,0.79802,0.75079,0.82364,0.61137,0.9264,0.81333,1.17095,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,15383.3,0.94835,1.09592,1.24408,1.40835,0.79916,0.7466,0.82314,0.61477,0.91912,0.80666,1.16513,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,16155.6,0.94749,1.08756,1.23992,1.41131,0.80772,0.75028,0.82649,0.61858,0.9159,0.80299,1.16242,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,16917.4,0.93712,1.07458,1.23381,1.39663,0.81215,0.74099,0.82583,0.61781,0.91294,0.80101,1.16306,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,17679.6,0.9349,1.07004,1.2322,1.39033,0.81661,0.74439,0.83068,0.62079,0.90857,0.79941,1.15831,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18450.8,0.93635,1.06272,1.23245,1.39169,0.81189,0.74949,0.82903,0.62283,0.9115,0.79483,1.15893,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,19223.8,0.92895,1.05375,1.22898,1.38269,0.80744,0.74687,0.83024,0.62219,0.91137,0.79304,1.15977,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19989.4,0.92553,1.05049,1.22662,1.37808,0.80589,0.75117,0.82973,0.62392,0.90574,0.78776,1.15536,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20754.1,0.92443,1.05096,1.22638,1.37469,0.79962,0.76249,0.83279,0.62573,0.90552,0.78615,1.15532,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,21525.2,0.92262,1.03907,1.22235,1.36613,0.81488,0.74816,0.8334,0.62773,0.90375,0.78363,1.1531,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,22293.2,0.92535,1.04476,1.22279,1.36515,0.81249,0.75449,0.83381,0.62732,0.90351,0.78019,1.1534,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,23060.8,0.91692,1.03069,1.22004,1.35984,0.81637,0.74969,0.83534,0.62767,0.90416,0.77568,1.15281,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,23828.7,0.91142,1.02033,1.21434,1.35008,0.81107,0.75634,0.8347,0.6274,0.90033,0.77329,1.15028,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,24595.2,0.9078,1.0159,1.21528,1.34911,0.82106,0.74721,0.83503,0.62836,0.90063,0.771,1.15083,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,25363.4,0.91293,1.01821,1.21781,1.34763,0.82535,0.74557,0.83489,0.62945,0.89879,0.76925,1.14896,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,26137.7,0.91164,1.01116,1.21744,1.33714,0.81953,0.75228,0.83547,0.63011,0.89715,0.76713,1.14813,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,26907,0.90981,1.00434,1.2138,1.34027,0.8207,0.75215,0.83791,0.63255,0.89453,0.76425,1.14614,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,27665.4,0.90239,0.99451,1.20916,1.33379,0.81489,0.7591,0.83813,0.63379,0.89278,0.76199,1.14497,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,28428.9,0.90158,0.99306,1.20882,1.33323,0.81688,0.75965,0.83875,0.63465,0.89159,0.75893,1.14394,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,29188.8,0.90021,0.98913,1.2068,1.3263,0.82232,0.75527,0.83926,0.63536,0.89032,0.75716,1.14235,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,29950.4,0.89434,0.97358,1.20307,1.32578,0.82528,0.74997,0.83949,0.63657,0.88889,0.75666,1.14103,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,30713.9,0.89258,0.97624,1.20274,1.31616,0.829,0.75133,0.84044,0.63697,0.88812,0.75464,1.14,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,31477.3,0.88992,0.97644,1.20117,1.31361,0.82668,0.75274,0.84131,0.63736,0.88778,0.75381,1.13964,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,32247.5,0.89076,0.96872,1.20056,1.31188,0.81872,0.76176,0.84124,0.6371,0.88789,0.75251,1.13974,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,32939,0.88845,0.96714,1.19782,1.30677,0.82225,0.76023,0.84142,0.63803,0.88679,0.75094,1.13893,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,33438.2,0.8856,0.96254,1.19796,1.3058,0.82364,0.76087,0.84236,0.63856,0.88665,0.74954,1.13885,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,34003.9,0.88355,0.954,1.19533,1.29884,0.82618,0.75999,0.84284,0.63853,0.88658,0.748,1.13902,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,34621.1,0.87956,0.95679,1.19634,1.30284,0.82607,0.76066,0.84381,0.63927,0.88617,0.74619,1.13861,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,35226.6,0.87165,0.9423,1.19098,1.29049,0.82812,0.76058,0.8437,0.63955,0.88608,0.74492,1.13857,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,35733.5,0.87704,0.94335,1.19073,1.28858,0.82909,0.76092,0.84359,0.64017,0.88559,0.74473,1.13811,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,36206,0.87393,0.93994,1.19045,1.28536,0.82489,0.76552,0.84455,0.641,0.88513,0.74414,1.13739,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,36786.5,0.8771,0.9374,1.18897,1.28635,0.82533,0.76418,0.84405,0.64131,0.88534,0.74287,1.13765,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,37362.1,0.87156,0.93092,1.19068,1.27621,0.81884,0.76994,0.84477,0.64132,0.88513,0.7417,1.13734,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,39378.8,0.86502,0.92341,1.18602,1.2795,0.81654,0.77176,0.84528,0.64169,0.88454,0.7406,1.13672,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,40033.5,0.86163,0.91803,1.18257,1.27013,0.81649,0.77178,0.84625,0.64209,0.88412,0.73916,1.13622,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,40620,0.86021,0.91716,1.18183,1.26628,0.81873,0.76978,0.84626,0.6425,0.88387,0.73812,1.13606,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,41116.7,0.86374,0.91106,1.18216,1.26851,0.81864,0.77094,0.84651,0.64279,0.88346,0.73745,1.13574,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,41793.8,0.86057,0.90883,1.18185,1.25972,0.8177,0.77131,0.8467,0.64335,0.88314,0.73657,1.13553,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,42403.9,0.85753,0.90089,1.17895,1.25992,0.81931,0.76987,0.84698,0.64378,0.88304,0.73634,1.13561,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,42979.5,0.85391,0.89635,1.17405,1.25509,0.8211,0.76903,0.84706,0.64399,0.88266,0.73526,1.13536,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,43507.6,0.85361,0.89639,1.17521,1.25151,0.82047,0.77101,0.84739,0.64415,0.88258,0.73428,1.13513,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,44000.9,0.84869,0.89105,1.17368,1.24482,0.82099,0.77146,0.84728,0.64412,0.8825,0.73369,1.135,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,44499.5,0.85008,0.88291,1.17076,1.24271,0.82498,0.76756,0.8472,0.64447,0.88226,0.73307,1.13477,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,45285.2,0.85107,0.88988,1.17124,1.24705,0.82551,0.76723,0.8474,0.64458,0.88228,0.73238,1.13473,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,46021.4,0.84183,0.87805,1.16648,1.2389,0.82463,0.76847,0.84744,0.64478,0.88214,0.73176,1.13459,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,46906.6,0.83636,0.87647,1.16793,1.23902,0.82532,0.76773,0.8475,0.64497,0.88202,0.73111,1.13446,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,47453.1,0.84028,0.86992,1.16766,1.23331,0.82526,0.76967,0.84776,0.64518,0.8818,0.73069,1.13422,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,47976.6,0.83572,0.86275,1.16428,1.22944,0.8238,0.77001,0.84762,0.6457,0.8818,0.7303,1.13414,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,48502.7,0.83495,0.86087,1.16175,1.22581,0.82428,0.77042,0.84778,0.6458,0.88191,0.72986,1.13423,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,49006.2,0.83584,0.85741,1.16406,1.2248,0.82511,0.77175,0.84811,0.64606,0.88192,0.72935,1.13415,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,49483.4,0.82317,0.85111,1.15865,1.22167,0.82609,0.77019,0.84833,0.64652,0.88171,0.72888,1.13381,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
