epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9372,3.122,5.87894,0.03333,0.00193,0.11762,0.00379,0.00097,3.03675,5.50049,0.054,0.000233897,0.000233897,0.000233897
2,35.3123,2.54943,3.51337,0.0239,0.54946,0.21912,0.21556,0.07005,2.50184,2.75795,0.0402,0.000467225,0.000467225,0.000467225
3,51.0817,2.324,2.9268,0.02029,0.47419,0.32636,0.29366,0.1114,2.28374,2.5747,0.03202,0.000695841,0.000695841,0.000695841
4,67.9499,2.13949,2.52349,0.01808,0.55772,0.37055,0.35147,0.1401,2.16637,2.30387,0.02985,0.000692794,0.000692794,0.000692794
5,83.7836,2.08504,2.28151,0.01735,0.79545,0.35013,0.4418,0.19668,2.07197,2.09835,0.02778,0.000685726,0.000685726,0.000685726
6,101.251,2.00713,2.20123,0.01617,0.80944,0.4553,0.56952,0.25887,1.91809,1.86958,0.02412,0.000678657,0.000678657,0.000678657
7,118.124,1.96053,2.12497,0.01652,0.75758,0.46928,0.53759,0.26025,1.92137,1.69254,0.02588,0.000671588,0.000671588,0.000671588
8,134.991,1.96767,2.0464,0.01559,0.7716,0.47274,0.54724,0.269,1.87563,1.65609,0.02411,0.00066452,0.00066452,0.00066452
9,153.486,1.93623,1.99183,0.01533,0.78688,0.42499,0.57458,0.28624,1.88548,1.62569,0.02451,0.000657451,0.000657451,0.000657451
10,171.912,1.92267,1.89309,0.01544,0.48312,0.5661,0.56393,0.27192,1.968,1.58058,0.02552,0.000650383,0.000650383,0.000650383
11,191.866,1.91528,1.89545,0.01497,0.83403,0.47288,0.59168,0.28787,1.90341,1.57041,0.02504,0.000643314,0.000643314,0.000643314
12,211.988,1.90351,1.82511,0.01463,0.56166,0.57393,0.58645,0.29875,1.87768,1.48833,0.02464,0.000636245,0.000636245,0.000636245
13,232.193,1.87055,1.78079,0.01486,0.51936,0.60222,0.58449,0.29178,1.95237,1.4585,0.02457,0.000629177,0.000629177,0.000629177
14,249.531,1.86597,1.78757,0.01429,0.81223,0.45627,0.56719,0.29272,1.92646,1.49156,0.02414,0.000622108,0.000622108,0.000622108
15,266.764,1.84415,1.76531,0.01452,0.52134,0.5518,0.5872,0.31545,1.85972,1.46054,0.02342,0.00061504,0.00061504,0.00061504
16,284.188,1.8501,1.68714,0.01453,0.69234,0.47268,0.57598,0.30366,1.83927,1.53619,0.02289,0.000607971,0.000607971,0.000607971
17,302.86,1.84519,1.71144,0.01375,0.65975,0.54845,0.5871,0.306,1.86726,1.42544,0.02299,0.000600902,0.000600902,0.000600902
18,320.571,1.83282,1.73147,0.01386,0.54291,0.61804,0.61642,0.31266,1.85167,1.36804,0.02322,0.000593834,0.000593834,0.000593834
