epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1198.72,1.47064,0.88767,0.01009,0.72245,0.72812,0.60788,0.63137,0.33176,1.89883,1.35979,0.02452,0.000445393,0.000445393,0.000445393
40,1228.28,1.4813,0.89475,0.00994,0.71778,0.65037,0.59956,0.60801,0.33394,1.96031,1.27531,0.02543,0.000438325,0.000438325,0.000438325
41,1257.84,1.45669,0.88316,0.00987,0.71308,0.70466,0.64665,0.65163,0.34367,1.92468,1.21667,0.02365,0.000431256,0.000431256,0.000431256
42,1288.22,1.47957,0.88322,0.01016,0.7059,0.7555,0.59425,0.66539,0.3434,1.94493,1.17155,0.02521,0.000424187,0.000424187,0.000424187
43,1318.8,1.47007,0.90137,0.00985,0.69472,0.66268,0.68331,0.66373,0.35835,1.90833,1.15669,0.02411,0.000417119,0.000417119,0.000417119
44,1348.72,1.43432,0.87513,0.00981,0.69883,0.60818,0.65384,0.65111,0.36491,1.91429,1.14635,0.02444,0.00041005,0.00041005,0.00041005
45,1378.43,1.42498,0.87372,0.00938,0.68988,0.72205,0.61295,0.65968,0.35326,1.97059,1.21068,0.02514,0.000402982,0.000402982,0.000402982
46,1408.32,1.41848,0.86555,0.00955,0.68762,0.71809,0.6061,0.64616,0.34238,1.96254,1.22531,0.02447,0.000395913,0.000395913,0.000395913
47,1438.09,1.432,0.8604,0.00947,0.68222,0.6591,0.62524,0.64976,0.3469,1.90893,1.29148,0.02435,0.000388844,0.000388844,0.000388844
48,1467.53,1.43257,0.8429,0.00965,0.67855,0.71285,0.63403,0.64878,0.34701,1.90343,1.22546,0.02381,0.000381776,0.000381776,0.000381776
49,1497.56,1.41445,0.82199,0.0096,0.67695,0.60666,0.64842,0.6616,0.34223,1.91471,1.176,0.02347,0.000374707,0.000374707,0.000374707
50,1527.54,1.42001,0.85031,0.00951,0.66674,0.70492,0.65431,0.6631,0.36126,1.8802,1.22995,0.02335,0.000367639,0.000367639,0.000367639
51,1557.95,1.40989,0.84363,0.00952,0.66539,0.72962,0.6514,0.68758,0.36541,1.87842,1.19242,0.02327,0.00036057,0.00036057,0.00036057
52,1588.97,1.40086,0.83876,0.00927,0.6622,0.70868,0.60974,0.67544,0.35565,1.9314,1.07208,0.02481,0.000353501,0.000353501,0.000353501
53,1619.54,1.41076,0.80861,0.00911,0.65538,0.68966,0.65375,0.67065,0.35274,1.94191,1.15602,0.02429,0.000346433,0.000346433,0.000346433
54,1651.19,1.39588,0.8166,0.00906,0.65625,0.78296,0.63733,0.66598,0.36054,1.92376,1.13554,0.02354,0.000339364,0.000339364,0.000339364
55,1684.35,1.39622,0.81976,0.00944,0.65032,0.79368,0.63048,0.6953,0.36856,1.92822,1.14779,0.02361,0.000332296,0.000332296,0.000332296
56,1717.9,1.36928,0.79864,0.0087,0.64316,0.76389,0.66946,0.68486,0.36063,1.9561,1.17168,0.02491,0.000325227,0.000325227,0.000325227
57,1750.8,1.3619,0.80138,0.00884,0.64455,0.76172,0.61575,0.67562,0.36037,1.96143,1.17117,0.02451,0.000318158,0.000318158,0.000318158
58,1785,1.38122,0.79833,0.00905,0.64271,0.61238,0.66204,0.66207,0.34621,1.9773,1.20012,0.02442,0.00031109,0.00031109,0.00031109
59,1819.52,1.38616,0.81875,0.00883,0.63489,0.73217,0.64371,0.66796,0.35263,1.93694,1.22459,0.02366,0.000304021,0.000304021,0.000304021
60,1853.6,1.36623,0.80729,0.00888,0.63084,0.63895,0.68115,0.68157,0.36033,1.94736,1.15012,0.02356,0.000296953,0.000296953,0.000296953
61,1888.04,1.36502,0.77987,0.00893,0.63648,0.76314,0.58299,0.6483,0.34685,1.93697,1.21703,0.02329,0.000289884,0.000289884,0.000289884
