epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,551.198,1.33395,1.24962,0.01893,0.62063,0.62258,0.64884,0.33558,1.61778,1.41831,0.0356,0.0005941,0.0005941,0.0005941
43,563.68,1.33497,1.26546,0.01907,0.60849,0.6684,0.68356,0.36519,1.53512,1.35692,0.03366,0.0005842,0.0005842,0.0005842
44,576.524,1.33224,1.23798,0.01893,0.6734,0.63557,0.69085,0.35296,1.6197,1.31951,0.03622,0.0005743,0.0005743,0.0005743
45,589.325,1.32795,1.21027,0.01856,0.67407,0.62165,0.68454,0.34091,1.6396,1.37523,0.03655,0.0005644,0.0005644,0.0005644
46,601.973,1.33264,1.23373,0.01902,0.66952,0.64049,0.68374,0.35904,1.57603,1.35391,0.03504,0.0005545,0.0005545,0.0005545
47,614.482,1.32362,1.23167,0.01868,0.68047,0.65633,0.70568,0.35792,1.64106,1.29911,0.03658,0.0005446,0.0005446,0.0005446
48,626.988,1.32135,1.21853,0.01908,0.66744,0.66318,0.70246,0.35243,1.6669,1.2998,0.03874,0.0005347,0.0005347,0.0005347
49,639.498,1.33528,1.19901,0.0189,0.72866,0.60357,0.69875,0.34701,1.66541,1.33733,0.0365,0.0005248,0.0005248,0.0005248
50,652.094,1.32706,1.20374,0.019,0.66943,0.63338,0.6901,0.35236,1.59823,1.37246,0.03446,0.0005149,0.0005149,0.0005149
51,664.538,1.31872,1.19534,0.01856,0.6756,0.63508,0.69476,0.35545,1.62199,1.31659,0.03533,0.000505,0.000505,0.000505
52,677.24,1.30265,1.21215,0.01805,0.70259,0.65747,0.70981,0.37718,1.52404,1.35632,0.03431,0.0004951,0.0004951,0.0004951
53,690.209,1.28635,1.18803,0.01846,0.63928,0.6605,0.68547,0.364,1.54968,1.32171,0.03374,0.0004852,0.0004852,0.0004852
54,702.709,1.28678,1.17882,0.01777,0.70713,0.64547,0.71153,0.36878,1.58369,1.30198,0.03448,0.0004753,0.0004753,0.0004753
55,715.178,1.28813,1.16778,0.01837,0.66507,0.63847,0.69882,0.37777,1.5477,1.28469,0.03452,0.0004654,0.0004654,0.0004654
56,727.748,1.28001,1.15176,0.01774,0.68125,0.60456,0.68393,0.36539,1.5643,1.3124,0.03477,0.0004555,0.0004555,0.0004555
57,740.249,1.30021,1.11846,0.01817,0.69006,0.64605,0.69422,0.37402,1.57252,1.28052,0.03469,0.0004456,0.0004456,0.0004456
58,752.711,1.2851,1.1391,0.01807,0.6757,0.66815,0.7023,0.36322,1.62751,1.30943,0.03725,0.0004357,0.0004357,0.0004357
59,765.214,1.28408,1.09711,0.01747,0.64941,0.66295,0.70767,0.38227,1.53932,1.30825,0.0341,0.0004258,0.0004258,0.0004258
60,777.945,1.27131,1.10583,0.01774,0.66022,0.62764,0.69127,0.36869,1.5702,1.34623,0.0344,0.0004159,0.0004159,0.0004159
61,790.43,1.27601,1.11497,0.01763,0.67484,0.62178,0.68875,0.36156,1.60931,1.28324,0.03534,0.000406,0.000406,0.000406
62,802.933,1.2885,1.1159,0.01824,0.70134,0.64433,0.70976,0.3826,1.55362,1.29815,0.03482,0.0003961,0.0003961,0.0003961
63,815.549,1.25107,1.11084,0.01752,0.66848,0.65511,0.69467,0.36541,1.58968,1.28106,0.03475,0.0003862,0.0003862,0.0003862
64,828.315,1.25403,1.09038,0.01753,0.71479,0.65109,0.71524,0.3628,1.6143,1.32197,0.03531,0.0003763,0.0003763,0.0003763
65,840.887,1.26363,1.08004,0.01744,0.63324,0.66029,0.68858,0.36191,1.61438,1.29058,0.03511,0.0003664,0.0003664,0.0003664
66,853.477,1.24922,1.05614,0.01726,0.73188,0.63308,0.7261,0.38431,1.56914,1.23393,0.03465,0.0003565,0.0003565,0.0003565
67,866.035,1.24002,1.04936,0.01741,0.68733,0.66354,0.69687,0.36786,1.58585,1.30369,0.03575,0.0003466,0.0003466,0.0003466
68,878.717,1.24794,1.06181,0.01717,0.67033,0.64701,0.69114,0.36804,1.56368,1.30936,0.03444,0.0003367,0.0003367,0.0003367
69,891.377,1.2404,1.05275,0.017,0.68551,0.66389,0.71267,0.37687,1.60647,1.25813,0.03581,0.0003268,0.0003268,0.0003268
70,903.877,1.22005,1.04205,0.01714,0.68042,0.63803,0.68961,0.36188,1.61907,1.29077,0.03575,0.0003169,0.0003169,0.0003169
71,916.307,1.21497,0.99567,0.01673,0.74983,0.63527,0.7315,0.39022,1.56723,1.23173,0.03461,0.000307,0.000307,0.000307
72,929.019,1.22732,1.04119,0.0169,0.71932,0.61408,0.70295,0.37293,1.59228,1.29709,0.03447,0.0002971,0.0002971,0.0002971
73,941.842,1.20513,0.99782,0.01669,0.6864,0.63012,0.69865,0.3892,1.53663,1.3267,0.03347,0.0002872,0.0002872,0.0002872
74,954.549,1.20789,1.02062,0.01641,0.68997,0.6545,0.71181,0.37895,1.5453,1.32465,0.03378,0.0002773,0.0002773,0.0002773
75,967.314,1.20081,1.01289,0.01673,0.67945,0.6479,0.70966,0.37295,1.57379,1.28157,0.03462,0.0002674,0.0002674,0.0002674
76,979.947,1.20366,1.00548,0.01629,0.66026,0.68501,0.70642,0.37488,1.58444,1.29887,0.03448,0.0002575,0.0002575,0.0002575
77,993.279,1.20693,1.01144,0.01658,0.66099,0.67127,0.70714,0.37982,1.57757,1.28241,0.035,0.0002476,0.0002476,0.0002476
78,1005.95,1.19032,0.973,0.01637,0.72083,0.64931,0.72369,0.38786,1.568,1.28082,0.0353,0.0002377,0.0002377,0.0002377
79,1018.57,1.19272,0.98075,0.0164,0.68477,0.63571,0.69948,0.37577,1.57101,1.32963,0.03436,0.0002278,0.0002278,0.0002278
80,1031.32,1.17372,0.9734,0.01635,0.66708,0.65549,0.7003,0.39011,1.53865,1.2953,0.03341,0.0002179,0.0002179,0.0002179
81,1044.03,1.19565,0.99125,0.01658,0.70927,0.63772,0.71083,0.38503,1.56114,1.27458,0.03454,0.000208,0.000208,0.000208
82,1056.57,1.17532,0.96226,0.0161,0.71053,0.65961,0.71005,0.38104,1.58827,1.2965,0.03508,0.0001981,0.0001981,0.0001981
83,1068.89,1.18095,0.98544,0.01644,0.68094,0.65591,0.7131,0.38615,1.581,1.24184,0.03496,0.0001882,0.0001882,0.0001882
84,1081.47,1.18342,0.9582,0.016,0.69805,0.62729,0.69555,0.37521,1.5849,1.29222,0.03566,0.0001783,0.0001783,0.0001783
85,1093.96,1.16992,0.95283,0.01602,0.67869,0.6499,0.70704,0.38818,1.53718,1.30123,0.03379,0.0001684,0.0001684,0.0001684
86,1107.77,1.1601,0.94027,0.0156,0.71534,0.6546,0.71968,0.39653,1.55399,1.21565,0.03491,0.0001585,0.0001585,0.0001585
87,1121.14,1.14686,0.93669,0.01531,0.70139,0.65921,0.71095,0.39327,1.56809,1.25586,0.03435,0.0001486,0.0001486,0.0001486
88,1133.91,1.15329,0.92252,0.01568,0.74188,0.62439,0.71141,0.38206,1.595,1.30526,0.03504,0.0001387,0.0001387,0.0001387
89,1146.75,1.16388,0.93239,0.01571,0.68554,0.66584,0.70334,0.37814,1.58022,1.28909,0.03418,0.0001288,0.0001288,0.0001288
90,1159.51,1.14839,0.90645,0.01571,0.71869,0.63417,0.71515,0.39064,1.56056,1.28244,0.03484,0.0001189,0.0001189,0.0001189
91,1190.27,1.15775,0.84276,0.021,0.72228,0.64312,0.70429,0.3764,1.59161,1.31145,0.03536,0.000109,0.000109,0.000109
92,1203.03,1.11811,0.75179,0.02024,0.68257,0.66338,0.70605,0.38332,1.58651,1.23986,0.03506,9.91e-05,9.91e-05,9.91e-05
93,1215.68,1.10518,0.72733,0.01963,0.70104,0.66949,0.71946,0.39009,1.58039,1.22298,0.03471,8.92e-05,8.92e-05,8.92e-05
94,1228.53,1.1022,0.7151,0.01973,0.7221,0.64202,0.7143,0.39113,1.55809,1.23569,0.03417,7.93e-05,7.93e-05,7.93e-05
95,1241.4,1.10285,0.71159,0.01969,0.6899,0.67339,0.7155,0.38855,1.5746,1.23029,0.03415,6.94e-05,6.94e-05,6.94e-05
96,1254.45,1.09256,0.71351,0.01962,0.69988,0.66689,0.72407,0.39189,1.58571,1.21934,0.03455,5.95e-05,5.95e-05,5.95e-05
97,1267.05,1.08836,0.69893,0.01967,0.65845,0.67686,0.71916,0.38879,1.5846,1.22934,0.03465,4.96e-05,4.96e-05,4.96e-05
98,1279.92,1.09372,0.7065,0.02011,0.70733,0.6722,0.72723,0.39231,1.58803,1.22217,0.03494,3.97e-05,3.97e-05,3.97e-05
99,1292.51,1.0803,0.69242,0.01911,0.73786,0.63011,0.72161,0.39355,1.58931,1.21446,0.03475,2.98e-05,2.98e-05,2.98e-05
100,1304.95,1.06947,0.67366,0.0189,0.71581,0.64878,0.72467,0.39598,1.5876,1.20662,0.0348,1.99e-05,1.99e-05,1.99e-05
