epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,177.509,1.80687,3.40066,0.02637,0.47637,0.39438,0.39256,0.23204,1.58574,2.08133,0.03012,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046
2,352.872,1.40575,2.12596,0.01871,0.56846,0.45309,0.48708,0.30271,1.47843,1.86802,0.02804,0.0195662,0.00652205,0.0195662,0.00652205,0.0195662,0.00652205,0.0195662,0.00652205
3,530.679,1.36337,1.98464,0.01796,0.51239,0.38386,0.39807,0.23634,1.55609,2.06961,0.03009,0.0287749,0.00959164,0.0287749,0.00959164,0.0287749,0.00959164,0.0287749,0.00959164
4,705.286,1.38927,2.01977,0.01852,0.53265,0.41871,0.44298,0.25856,1.54146,1.87786,0.03028,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,878.626,1.36402,1.96928,0.01811,0.55137,0.41807,0.45636,0.28139,1.49146,1.90278,0.02856,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1063.11,1.34624,1.92393,0.01785,0.56969,0.46077,0.49175,0.29924,1.47278,1.76278,0.0289,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1245.18,1.32775,1.89746,0.01746,0.60325,0.51724,0.55233,0.35347,1.3732,1.5978,0.02532,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1423.76,1.3185,1.87153,0.0173,0.58094,0.51406,0.54682,0.34453,1.40155,1.60851,0.02629,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1601.65,1.2982,1.83165,0.01711,0.60277,0.50746,0.53715,0.33319,1.43268,1.65911,0.0272,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1776.59,1.29533,1.81725,0.01688,0.6317,0.52914,0.57298,0.36817,1.35114,1.54717,0.02499,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1954.41,1.30088,1.7967,0.01695,0.63416,0.54752,0.59056,0.38162,1.35538,1.50554,0.0249,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2128.43,1.28318,1.77816,0.01665,0.64802,0.54031,0.59278,0.38816,1.32409,1.52467,0.0243,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2305.79,1.28328,1.76526,0.01654,0.66133,0.56092,0.62015,0.40968,1.314,1.42022,0.02378,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2483.3,1.27517,1.74409,0.0165,0.68213,0.56258,0.62598,0.41751,1.28684,1.41548,0.02327,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2661.86,1.26882,1.7371,0.01627,0.66843,0.53201,0.60299,0.40411,1.31041,1.48716,0.024,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2840.5,1.26228,1.71009,0.01635,0.67848,0.57967,0.63852,0.42677,1.27958,1.39304,0.02322,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3018.9,1.25889,1.68622,0.01622,0.68664,0.57008,0.6337,0.42953,1.26289,1.43155,0.02286,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3196.99,1.25022,1.68301,0.01606,0.69029,0.5866,0.64656,0.44217,1.24752,1.34642,0.02241,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3374.77,1.25054,1.66465,0.0161,0.68013,0.6042,0.66579,0.45122,1.2547,1.29592,0.02254,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
