epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9148,1.61229,5.58806,0.02406,0.01073,0.53227,0.0701,0.03227,1.55826,5.26567,0.03484,0.000325926,0.000325926,0.000325926
2,36.7809,1.38608,4.4498,0.02047,0.69312,0.08793,0.18981,0.08755,1.53139,3.63649,0.0357,0.000655996,0.000655996,0.000655996
3,48.7932,1.42283,3.68491,0.02069,0.4787,0.25027,0.25193,0.10162,1.6402,3.06873,0.03923,0.000982766,0.000982766,0.000982766
4,60.7948,1.448,3.05924,0.02131,0.57616,0.22036,0.26142,0.1169,1.66567,2.5956,0.03914,0.00098515,0.00098515,0.00098515
5,72.7475,1.47396,2.64565,0.02142,0.56531,0.37927,0.37657,0.16322,1.71037,2.54043,0.04191,0.0009802,0.0009802,0.0009802
6,84.7066,1.45579,2.40141,0.02124,0.59146,0.37656,0.40534,0.18063,1.65816,2.29479,0.0405,0.00097525,0.00097525,0.00097525
7,96.7282,1.43931,2.24298,0.02138,0.49536,0.37887,0.36784,0.16957,1.61407,2.19736,0.03748,0.0009703,0.0009703,0.0009703
8,108.715,1.45689,2.14383,0.02163,0.57388,0.37306,0.42956,0.20103,1.62566,2.1805,0.03714,0.00096535,0.00096535,0.00096535
9,120.502,1.44272,1.99247,0.02123,0.48505,0.38391,0.39196,0.17526,1.7961,2.2148,0.04046,0.0009604,0.0009604,0.0009604
10,132.369,1.44099,1.99122,0.02143,0.49483,0.48491,0.51857,0.25292,1.65791,1.88626,0.04018,0.00095545,0.00095545,0.00095545
11,144.052,1.43056,1.85782,0.02062,0.53319,0.50909,0.54336,0.25879,1.66874,1.85173,0.03838,0.0009505,0.0009505,0.0009505
12,156.195,1.43675,1.85133,0.02134,0.44502,0.48955,0.48624,0.22269,1.60513,1.91373,0.03681,0.00094555,0.00094555,0.00094555
