epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,180.755,1.57254,2.6837,0.02165,0.65164,0.50535,0.56171,0.37041,1.39276,1.62677,0.02515,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046
2,363.726,1.2476,1.67587,0.01595,0.67601,0.55504,0.60923,0.4049,1.31291,1.46804,0.02387,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792
3,546.784,1.23882,1.6395,0.01587,0.56458,0.41147,0.44245,0.27549,1.43465,1.84809,0.02713,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938
4,729.02,1.28094,1.75246,0.01669,0.62977,0.49283,0.537,0.34515,1.39926,1.60166,0.02648,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,913.016,1.26641,1.71337,0.01643,0.55493,0.43779,0.4575,0.29105,1.37465,1.77492,0.02594,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1094.61,1.25651,1.69372,0.0164,0.63472,0.53385,0.58155,0.37716,1.34506,1.51688,0.02526,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1269.81,1.2499,1.65329,0.01615,0.62503,0.52768,0.57064,0.37361,1.32784,1.5035,0.02444,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1453.55,1.23884,1.63878,0.01605,0.64983,0.55769,0.61211,0.40209,1.29198,1.41347,0.02367,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1635.45,1.22143,1.62207,0.01589,0.66266,0.57314,0.62199,0.40135,1.31335,1.40056,0.02421,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1813.64,1.22573,1.61146,0.01578,0.70078,0.58868,0.65781,0.43965,1.24457,1.31589,0.02251,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1995.05,1.21727,1.59426,0.01566,0.69431,0.56258,0.63565,0.42659,1.25926,1.33279,0.02285,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2177.34,1.20889,1.57883,0.01547,0.68412,0.56743,0.63553,0.43044,1.24947,1.38218,0.0228,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2361.23,1.21623,1.58051,0.01549,0.68008,0.58095,0.63854,0.43172,1.23349,1.35144,0.02232,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2546.13,1.20261,1.56387,0.01535,0.71012,0.58884,0.66235,0.45016,1.23133,1.30519,0.02226,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2724.84,1.20343,1.55717,0.01529,0.69893,0.59764,0.66029,0.44847,1.22909,1.31272,0.02231,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2903.86,1.19668,1.54394,0.01534,0.71447,0.58928,0.66647,0.4606,1.21661,1.31012,0.02199,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3086.31,1.19165,1.52517,0.01515,0.71862,0.61585,0.68623,0.47215,1.21152,1.22122,0.02164,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3269.97,1.19148,1.5267,0.01522,0.73321,0.60687,0.68604,0.47494,1.20591,1.24642,0.02192,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3444.89,1.1928,1.51112,0.01528,0.7063,0.60271,0.67619,0.46807,1.20392,1.25359,0.02145,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3628.01,1.18365,1.50748,0.015,0.72696,0.62877,0.70173,0.49297,1.18045,1.16801,0.02089,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3811.87,1.1885,1.49699,0.01502,0.72858,0.62935,0.69718,0.49061,1.17139,1.21017,0.0207,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3994.89,1.18182,1.48647,0.01499,0.73744,0.64465,0.71202,0.50616,1.15895,1.17654,0.02035,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4172.69,1.18061,1.47541,0.01505,0.73477,0.65402,0.71997,0.50796,1.15734,1.13957,0.02026,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4350.23,1.17341,1.46603,0.01471,0.75974,0.65044,0.73143,0.5202,1.13513,1.12012,0.01972,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4530.5,1.16883,1.45984,0.01483,0.76296,0.66067,0.73861,0.52535,1.14435,1.10065,0.02009,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4713.2,1.16601,1.45291,0.01475,0.76313,0.65484,0.73496,0.52905,1.13109,1.096,0.01967,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4896.29,1.16838,1.45146,0.01474,0.75452,0.66386,0.74036,0.53141,1.1258,1.08469,0.01937,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5079.22,1.16962,1.44618,0.01472,0.75712,0.6651,0.74043,0.5285,1.13051,1.08992,0.0197,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5254.69,1.16951,1.42487,0.01473,0.77085,0.66471,0.74835,0.53713,1.11826,1.06506,0.01928,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5430.37,1.1599,1.43221,0.01451,0.77102,0.67839,0.75544,0.54412,1.10608,1.05138,0.01908,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5610.82,1.16459,1.41461,0.01459,0.76893,0.68366,0.7571,0.54964,1.1036,1.04524,0.01898,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5792.51,1.15604,1.40235,0.01448,0.78454,0.67358,0.759,0.5527,1.09686,1.0419,0.01887,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5973.57,1.15379,1.39833,0.01447,0.77439,0.67999,0.76228,0.55517,1.08862,1.03639,0.01864,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6154.22,1.15377,1.40276,0.01446,0.7736,0.68356,0.76297,0.5575,1.08849,1.03378,0.01859,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6333.33,1.14349,1.3848,0.01434,0.78462,0.68182,0.77156,0.56307,1.08222,1.01143,0.01844,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6517.7,1.14684,1.3818,0.01434,0.77356,0.69764,0.76873,0.5653,1.0739,1.0091,0.01821,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6701.85,1.13926,1.38569,0.01408,0.78005,0.68666,0.76927,0.56506,1.0722,1.00503,0.01814,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6882.97,1.14157,1.37447,0.01438,0.78684,0.68501,0.76748,0.56379,1.06983,1.00572,0.01817,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7065.13,1.14107,1.37587,0.01424,0.79064,0.68807,0.77245,0.5667,1.06375,1.00149,0.01806,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7248.59,1.13794,1.3661,0.01415,0.7829,0.70052,0.77475,0.57076,1.06376,0.99161,0.01803,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7423.13,1.12682,1.34972,0.0141,0.7871,0.70055,0.78013,0.57493,1.05935,0.98426,0.01788,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7598.37,1.12675,1.3422,0.01404,0.78327,0.70207,0.77823,0.5747,1.06139,0.9806,0.0179,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7774.24,1.13146,1.34311,0.01408,0.80239,0.69088,0.78073,0.57621,1.05274,0.98779,0.01771,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7954.5,1.12718,1.3349,0.0141,0.78792,0.70877,0.78363,0.57893,1.05303,0.97686,0.01769,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8131.63,1.12678,1.33351,0.0139,0.78654,0.70701,0.78207,0.57817,1.0508,0.97508,0.01766,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8314,1.11826,1.32589,0.01389,0.79528,0.6955,0.78216,0.58117,1.04504,0.97293,0.01751,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8498.53,1.11461,1.31328,0.01379,0.78928,0.70185,0.78425,0.58402,1.04808,0.97094,0.01749,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8678.52,1.12266,1.31361,0.01387,0.77838,0.72057,0.78835,0.58708,1.04445,0.96527,0.01749,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8861.99,1.11222,1.31135,0.01368,0.80138,0.71433,0.79099,0.58959,1.04129,0.96671,0.01745,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9038.08,1.10536,1.29542,0.01364,0.79922,0.71485,0.79219,0.59107,1.03932,0.9625,0.01735,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9221.06,1.10504,1.29134,0.01367,0.79657,0.71942,0.7918,0.58989,1.03981,0.96132,0.01739,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9403.5,1.10215,1.27993,0.01361,0.80697,0.71078,0.79279,0.59156,1.04022,0.95583,0.0174,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9583.96,1.10602,1.27561,0.0136,0.80642,0.71445,0.7934,0.592,1.03913,0.95288,0.01738,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9760.11,1.09865,1.27429,0.01355,0.81676,0.70734,0.7935,0.59208,1.03859,0.94788,0.01736,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9937.78,1.0936,1.25389,0.01355,0.81786,0.70786,0.79398,0.5934,1.03552,0.94757,0.01729,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10119.3,1.09301,1.25637,0.01334,0.81516,0.70722,0.79406,0.59464,1.03427,0.95072,0.0173,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10301.6,1.09238,1.24738,0.01343,0.81034,0.70928,0.79398,0.59467,1.03294,0.95012,0.01723,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10478.8,1.08389,1.24979,0.01334,0.801,0.71884,0.79394,0.59542,1.0331,0.94565,0.01722,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10653.9,1.0889,1.24463,0.01342,0.80451,0.71496,0.79334,0.5958,1.0304,0.9484,0.01716,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10834.2,1.07803,1.23044,0.01318,0.80889,0.71535,0.79471,0.59706,1.0294,0.9457,0.01713,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11013.6,1.07828,1.22556,0.01317,0.81143,0.71072,0.7935,0.59666,1.02805,0.9457,0.0171,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11195.1,1.07703,1.21949,0.01317,0.8058,0.71622,0.79466,0.59773,1.0275,0.94416,0.01709,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11375,1.06742,1.21531,0.01315,0.80887,0.71481,0.79386,0.5969,1.02679,0.94539,0.01706,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11559.1,1.07229,1.20184,0.01314,0.81315,0.71081,0.79439,0.59759,1.02582,0.94598,0.01703,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11742.3,1.06769,1.19998,0.01304,0.80621,0.71744,0.79463,0.59775,1.02476,0.94658,0.01701,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11925.6,1.0606,1.19148,0.01287,0.80239,0.71998,0.79533,0.59849,1.02581,0.94394,0.01703,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12105.4,1.05524,1.18183,0.01287,0.80108,0.71878,0.79531,0.59862,1.02579,0.94141,0.01704,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12284.8,1.061,1.18536,0.01285,0.80186,0.71788,0.79472,0.59881,1.02537,0.94179,0.01704,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12462.8,1.05729,1.17831,0.01286,0.79916,0.71943,0.79461,0.59914,1.024,0.94351,0.01701,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12644.9,1.04475,1.16168,0.01268,0.80167,0.71822,0.79454,0.59921,1.02371,0.94382,0.017,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12826.2,1.04218,1.15217,0.01266,0.79665,0.72227,0.79466,0.59922,1.02384,0.94325,0.01701,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13008.7,1.04574,1.16443,0.01262,0.80059,0.72194,0.79531,0.60014,1.0246,0.94061,0.01704,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13186,1.04499,1.15161,0.01267,0.80535,0.71985,0.79576,0.60049,1.02428,0.9418,0.01702,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13363.4,1.04027,1.14836,0.01251,0.79774,0.72215,0.79593,0.60064,1.02358,0.94413,0.017,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13545,1.03137,1.13246,0.01242,0.80406,0.71831,0.7956,0.6009,1.02261,0.9446,0.01697,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13725.9,1.03384,1.12751,0.01243,0.80548,0.71719,0.79605,0.6009,1.02279,0.94338,0.01697,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13905.9,1.03686,1.12149,0.01242,0.79767,0.72192,0.79599,0.60103,1.0218,0.94399,0.01694,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14087.6,1.02525,1.1196,0.01239,0.8021,0.71803,0.79611,0.60082,1.02126,0.94257,0.01693,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14269.7,1.01823,1.10535,0.01223,0.7998,0.71976,0.79633,0.60102,1.02068,0.9431,0.01691,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14445.5,1.01386,1.10721,0.0122,0.80388,0.71806,0.79652,0.60121,1.02057,0.94327,0.01691,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14627.8,1.0119,1.09193,0.01214,0.79812,0.72122,0.79672,0.60159,1.02084,0.94194,0.01691,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14792.3,1.00826,1.08658,0.01206,0.79949,0.72071,0.79682,0.60167,1.02013,0.94196,0.01689,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14956.6,1.01174,1.08896,0.0122,0.79917,0.72326,0.79713,0.60204,1.02043,0.94086,0.01689,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15120.6,1.00515,1.07298,0.01202,0.80032,0.72054,0.79681,0.60229,1.0205,0.94051,0.01689,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15285,1.00332,1.0679,0.01195,0.80099,0.72056,0.79718,0.60229,1.021,0.93936,0.01691,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15449.2,0.99471,1.06095,0.01191,0.79411,0.72874,0.79727,0.60236,1.02118,0.93896,0.0169,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
