epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5849.98,0.91371,0.99442,1.21259,1.32818,0.81947,0.74744,0.83201,0.62123,0.92196,0.79254,1.16698,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6038.28,0.90993,0.98999,1.2092,1.31934,0.81339,0.75346,0.83431,0.62488,0.91704,0.78884,1.16226,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6226.51,0.89926,0.97782,1.20254,1.31407,0.81835,0.74874,0.83672,0.6291,0.91158,0.78294,1.16001,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6413.49,0.8965,0.9669,1.20076,1.30745,0.81806,0.76185,0.83701,0.62823,0.9121,0.78301,1.15938,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6600.38,0.88908,0.96002,1.19633,1.30017,0.81516,0.7545,0.83728,0.63114,0.90571,0.7783,1.15602,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6786.74,0.88811,0.94958,1.19679,1.29128,0.81395,0.76087,0.8392,0.63191,0.91009,0.77509,1.1589,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6972.87,0.87831,0.93956,1.19219,1.27913,0.82012,0.75792,0.83893,0.63339,0.90445,0.77074,1.15296,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7159.29,0.88276,0.92931,1.19178,1.27445,0.82516,0.75674,0.83967,0.63314,0.90306,0.76937,1.15247,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7346.77,0.87471,0.92078,1.18832,1.27009,0.8234,0.76084,0.84154,0.63583,0.90158,0.7624,1.15009,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7540.09,0.86137,0.90504,1.1804,1.26097,0.81233,0.77542,0.8428,0.63742,0.89957,0.75735,1.14911,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7737.22,0.86484,0.90382,1.17864,1.24963,0.81774,0.77346,0.84442,0.63808,0.89844,0.7552,1.1476,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7955.02,0.82377,0.76242,1.15234,1.08999,0.81332,0.77392,0.84337,0.63894,0.89513,0.75503,1.14781,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8152.89,0.80501,0.72677,1.13668,1.02024,0.81416,0.7701,0.84459,0.63918,0.89605,0.75337,1.14963,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8342.24,0.79858,0.71438,1.13247,1.00594,0.82212,0.76471,0.84477,0.63964,0.89472,0.75119,1.14786,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8529.13,0.7865,0.69512,1.12467,1.00438,0.82817,0.76069,0.84456,0.641,0.89558,0.74879,1.14789,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8718.53,0.7785,0.6845,1.11798,0.99091,0.82823,0.75978,0.84395,0.64147,0.89586,0.74849,1.14857,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8910.92,0.77131,0.67391,1.11425,0.98729,0.83532,0.75858,0.84456,0.64174,0.89437,0.74715,1.14796,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,9103.65,0.75991,0.65355,1.10177,0.97319,0.83275,0.7566,0.84326,0.64041,0.89483,0.7469,1.14869,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,9296.8,0.75315,0.64873,1.10014,0.97605,0.82302,0.76429,0.8425,0.64077,0.89462,0.74559,1.14841,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,9490.99,0.74606,0.63363,1.09737,0.96839,0.82434,0.76226,0.84291,0.64026,0.89427,0.74384,1.14808,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9685.26,0.7404,0.62619,1.09494,0.96643,0.81759,0.76974,0.84281,0.63977,0.8944,0.74355,1.1483,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
