stage,params_M,GFLOPs,mAP50,mAP50_95,latency_ms,FPS
val_init,2.512,5.8,0.8454,0.6593,14.0,71.4
step0,1.603,3.6,0.7969,0.6014,13.03,76.7
step1,1.099,2.4,0.7503,0.546,12.23,81.8
